model,family,repeat,start_utc,end_utc,device,measurement_type,window_seconds_requested,window_seconds_actual,inferences,batch_size,images_processed,latency_ms_per_inference,latency_ms_per_image,mean_power_W,total_window_energy_J,energy_J_per_inference,energy_J_per_image,parsed_power_samples,power_note,raw_power_log,warmup_trials,cooldown_seconds,params,params_M,macs,macs_G,flops,flops_G
resnet18,paper_model,1,2026-05-15T02:13:15.036741+00:00,2026-05-15T02:13:25.071138+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.036073,2904,1,2904,3.455948,3.455948,25.925323,260.188429968,0.089596567,0.089596567,62,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\001_resnet18_repeat1_nvidia-smi.txt,10,2.0,11689512,11.689512,1814073344,1.814073,3628146688,3.628147
mobilenetv3_small,paper_model,1,2026-05-15T02:13:27.152208+00:00,2026-05-15T02:13:37.153996+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.001862,2172,1,2172,4.604909,4.604909,11.272931,112.750300542,0.05191082,0.05191082,58,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\002_mobilenetv3_small_repeat1_nvidia-smi.txt,10,2.0,2542856,2.542856,56510400,0.05651,113020800,0.113021
tiny_vit_5m,paper_model,1,2026-05-15T02:13:39.443277+00:00,2026-05-15T02:13:49.457594+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.024535,1444,1,1444,6.942199,6.942199,17.409322,174.52036676,0.12085898,0.12085898,59,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\003_tiny_vit_5m_repeat1_nvidia-smi.txt,10,2.0,12082725,12.082725,1165342848,1.165343,2330685696,2.330686
efficientnet_b0,paper_model,1,2026-05-15T02:13:51.608842+00:00,2026-05-15T02:14:01.600294+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.000504,1433,1,1433,6.978719,6.978719,12.711228,127.118684618,0.088708084,0.088708084,57,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\004_efficientnet_b0_repeat1_nvidia-smi.txt,10,2.0,5288548,5.288548,385814752,0.385815,771629504,0.77163
mobilenetv2,paper_model,1,2026-05-15T02:14:03.694093+00:00,2026-05-15T02:14:13.694961+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.000823,2230,1,2230,4.484674,4.484674,13.583621,135.847380783,0.060918108,0.060918108,58,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\005_mobilenetv2_repeat1_nvidia-smi.txt,10,2.0,3504872,3.504872,300774272,0.300774,601548544,0.601549
mobilenetv3_small,paper_model,2,2026-05-15T02:14:15.727358+00:00,2026-05-15T02:14:25.736323+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.000871,2107,1,2107,4.746498,4.746498,9.709821,97.106670569,0.046087646,0.046087646,56,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\006_mobilenetv3_small_repeat2_nvidia-smi.txt,10,2.0,2542856,2.542856,56510400,0.05651,113020800,0.113021
tiny_vit_5m,paper_model,2,2026-05-15T02:14:28.013449+00:00,2026-05-15T02:14:38.048201+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.022735,1442,1,1442,6.950579,6.950579,17.532373,175.722320298,0.121860139,0.121860139,59,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\007_tiny_vit_5m_repeat2_nvidia-smi.txt,10,2.0,12082725,12.082725,1165342848,1.165343,2330685696,2.330686
efficientnet_b0,paper_model,2,2026-05-15T02:14:40.156301+00:00,2026-05-15T02:14:50.156052+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.005723,1308,1,1308,7.649635,7.649635,12.677544,126.847990912,0.096978586,0.096978586,57,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\008_efficientnet_b0_repeat2_nvidia-smi.txt,10,2.0,5288548,5.288548,385814752,0.385815,771629504,0.77163
resnet18,paper_model,2,2026-05-15T02:14:52.276161+00:00,2026-05-15T02:15:02.323945+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.038214,2344,1,2344,4.282514,4.282514,18.970492,190.429852612,0.081241405,0.081241405,61,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\009_resnet18_repeat2_nvidia-smi.txt,10,2.0,11689512,11.689512,1814073344,1.814073,3628146688,3.628147
mobilenetv2,paper_model,2,2026-05-15T02:15:04.387727+00:00,2026-05-15T02:15:14.385254+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.00003,1891,1,1891,5.288223,5.288223,13.236667,132.367066414,0.069998449,0.069998449,57,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\010_mobilenetv2_repeat2_nvidia-smi.txt,10,2.0,3504872,3.504872,300774272,0.300774,601548544,0.601549
efficientnet_b0,paper_model,3,2026-05-15T02:15:16.521614+00:00,2026-05-15T02:15:26.521281+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.005463,1124,1,1124,8.901657,8.901657,12.200556,122.07220475,0.108605164,0.108605164,54,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\011_efficientnet_b0_repeat3_nvidia-smi.txt,10,2.0,5288548,5.288548,385814752,0.385815,771629504,0.77163
mobilenetv3_small,paper_model,3,2026-05-15T02:15:28.566042+00:00,2026-05-15T02:15:38.565657+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.005492,1526,1,1526,6.556679,6.556679,9.374444,93.795932643,0.061465225,0.061465225,54,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\012_mobilenetv3_small_repeat3_nvidia-smi.txt,10,2.0,2542856,2.542856,56510400,0.05651,113020800,0.113021
resnet18,paper_model,3,2026-05-15T02:15:40.815049+00:00,2026-05-15T02:15:50.912409+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.037995,2354,1,2354,4.264229,4.264229,18.65,187.20861421,0.079527873,0.079527873,56,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\013_resnet18_repeat3_nvidia-smi.txt,10,2.0,11689512,11.689512,1814073344,1.814073,3628146688,3.628147
tiny_vit_5m,paper_model,3,2026-05-15T02:15:53.106230+00:00,2026-05-15T02:16:03.142012+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.004457,820,1,820,12.200557,12.200557,13.691765,136.978664408,0.167047152,0.167047152,51,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\014_tiny_vit_5m_repeat3_nvidia-smi.txt,10,2.0,12082725,12.082725,1165342848,1.165343,2330685696,2.330686
mobilenetv2,paper_model,3,2026-05-15T02:16:05.219925+00:00,2026-05-15T02:16:15.274167+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.003355,1090,1,1090,9.17739,9.17739,10.587885,105.914372742,0.097169149,0.097169149,52,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\015_mobilenetv2_repeat3_nvidia-smi.txt,10,2.0,3504872,3.504872,300774272,0.300774,601548544,0.601549
mobilenetv2,paper_model,4,2026-05-15T02:16:17.349096+00:00,2026-05-15T02:16:27.352939+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.004574,888,1,888,11.266412,11.266412,10.326596,103.313191296,0.116343684,0.116343684,47,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\016_mobilenetv2_repeat4_nvidia-smi.txt,10,2.0,3504872,3.504872,300774272,0.300774,601548544,0.601549
tiny_vit_5m,paper_model,4,2026-05-15T02:16:29.516162+00:00,2026-05-15T02:16:39.515245+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.005968,438,1,438,22.844677,22.844677,12.395349,124.027468772,0.283167737,0.283167737,43,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\017_tiny_vit_5m_repeat4_nvidia-smi.txt,10,2.0,12082725,12.082725,1165342848,1.165343,2330685696,2.330686
efficientnet_b0,paper_model,4,2026-05-15T02:16:41.620016+00:00,2026-05-15T02:16:51.626393+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.014431,437,1,437,22.916318,22.916318,9.057955,90.710261702,0.20757497,0.20757497,44,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\018_efficientnet_b0_repeat4_nvidia-smi.txt,10,2.0,5288548,5.288548,385814752,0.385815,771629504,0.77163
mobilenetv3_small,paper_model,4,2026-05-15T02:16:53.706171+00:00,2026-05-15T02:17:03.704788+00:00,cuda,direct_gpu_power_nvidia_smi,10.0,10.006064,799,1,799,12.523234,12.523234,8.082444,80.873455579,0.101218342,0.101218342,45,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements\raw_power\019_mobilenetv3_small_repeat4_nvidia-smi.txt,10,2.0,2542856,2.542856,56510400,0.05651,113020800,0.113021
