model,family,repeat,start_utc,end_utc,device,measurement_type,window_seconds_requested,window_seconds_actual,inferences,batch_size,images_processed,latency_ms_per_inference,latency_ms_per_image,mean_power_W,total_window_energy_J,energy_J_per_inference,energy_J_per_image,parsed_power_samples,power_note,raw_power_log,warmup_trials,cooldown_seconds,params,params_M,macs,macs_G,flops,flops_G
resnet18,paper_model,1,2026-05-15T05:28:38.442396+00:00,2026-05-15T05:28:43.483546+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.036468,1273,8,10184,3.956377,0.494547,100.285385,505.084080341,0.396766756,0.049595844,26,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\001_resnet18_repeat1_nvidia-smi.txt,10,2.0,11689512,11.689512,14512586752,14.512587,29025173504,29.025174
mobilenetv3_small,paper_model,1,2026-05-15T05:28:45.589334+00:00,2026-05-15T05:28:50.612272+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.002731,1040,8,8320,4.810318,0.60129,59.8764,299.545522448,0.288024541,0.036003068,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\002_mobilenetv3_small_repeat1_nvidia-smi.txt,10,2.0,2542856,2.542856,452083200,0.452083,904166400,0.904166
tiny_vit_5m,paper_model,1,2026-05-15T05:28:52.990060+00:00,2026-05-15T05:28:58.088027+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.032753,606,8,4848,8.304873,1.038109,99.451538,500.515018602,0.825932374,0.103241547,26,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\003_tiny_vit_5m_repeat1_nvidia-smi.txt,10,2.0,12082725,12.082725,9322742784,9.322743,18645485568,18.645486
efficientnet_b0,paper_model,1,2026-05-15T05:29:00.291869+00:00,2026-05-15T05:29:05.293834+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.000959,747,8,5976,6.694724,0.836841,82.9916,415.037588944,0.555605875,0.069450734,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\004_efficientnet_b0_repeat1_nvidia-smi.txt,10,2.0,5288548,5.288548,3086518016,3.086518,6173036032,6.173036
mobilenetv2,paper_model,1,2026-05-15T05:29:07.433476+00:00,2026-05-15T05:29:12.498386+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.018356,1264,8,10112,3.970218,0.496277,90.280385,453.059118845,0.358432847,0.044804106,26,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\005_mobilenetv2_repeat1_nvidia-smi.txt,10,2.0,3504872,3.504872,2406194176,2.406194,4812388352,4.812388
mobilenetv3_small,paper_model,2,2026-05-15T05:29:14.551675+00:00,2026-05-15T05:29:19.613429+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.003226,1097,8,8776,4.560826,0.570103,60.1924,301.156204759,0.274527078,0.034315885,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\006_mobilenetv3_small_repeat2_nvidia-smi.txt,10,2.0,2542856,2.542856,452083200,0.452083,904166400,0.904166
tiny_vit_5m,paper_model,2,2026-05-15T05:29:21.855731+00:00,2026-05-15T05:29:26.889352+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.033807,600,8,4800,8.389679,1.04871,98.288077,494.763219461,0.824605366,0.103075671,26,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\007_tiny_vit_5m_repeat2_nvidia-smi.txt,10,2.0,12082725,12.082725,9322742784,9.322743,18645485568,18.645486
efficientnet_b0,paper_model,2,2026-05-15T05:29:29.050345+00:00,2026-05-15T05:29:34.055495+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.004399,782,8,6256,6.399487,0.799936,83.6024,418.379733517,0.535012447,0.066876556,25,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\008_efficientnet_b0_repeat2_nvidia-smi.txt,10,2.0,5288548,5.288548,3086518016,3.086518,6173036032,6.173036
resnet18,paper_model,2,2026-05-15T05:29:36.202707+00:00,2026-05-15T05:29:41.276677+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.027683,1244,8,9952,4.041546,0.505193,99.753077,501.526839068,0.403156623,0.050394578,26,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\009_resnet18_repeat2_nvidia-smi.txt,10,2.0,11689512,11.689512,14512586752,14.512587,29025173504,29.025174
mobilenetv2,paper_model,2,2026-05-15T05:29:43.397595+00:00,2026-05-15T05:29:48.492651+00:00,cuda,direct_gpu_power_nvidia_smi,5.0,5.024565,1268,8,10144,3.962591,0.495324,90.591538,455.183064391,0.35897718,0.044872148,26,"GPU power sampled with nvidia-smi; energy is GPU-only, not whole-system energy.",pc_measurements_rtx4060_batch\batch_8\raw_power\010_mobilenetv2_repeat2_nvidia-smi.txt,10,2.0,3504872,3.504872,2406194176,2.406194,4812388352,4.812388
