architecture,family,trial,latency_ms,batch_size,input_shape
global_avg_mlp_tiny,mlp,1,0.027083,1,1x3x224x224
global_avg_mlp_tiny,mlp,2,0.026791,1,1x3x224x224
global_avg_mlp_tiny,mlp,3,0.02625,1,1x3x224x224
global_avg_mlp_tiny,mlp,4,0.026334,1,1x3x224x224
global_avg_mlp_tiny,mlp,5,0.026709,1,1x3x224x224
global_avg_mlp_tiny,mlp,6,0.026958,1,1x3x224x224
global_avg_mlp_tiny,mlp,7,0.026875,1,1x3x224x224
global_avg_mlp_tiny,mlp,8,0.02675,1,1x3x224x224
global_avg_mlp_tiny,mlp,9,0.025959,1,1x3x224x224
global_avg_mlp_tiny,mlp,10,0.02675,1,1x3x224x224
global_avg_mlp_tiny,mlp,11,0.027042,1,1x3x224x224
global_avg_mlp_tiny,mlp,12,0.027125,1,1x3x224x224
global_avg_mlp_tiny,mlp,13,0.0265,1,1x3x224x224
global_avg_mlp_tiny,mlp,14,0.02625,1,1x3x224x224
global_avg_mlp_tiny,mlp,15,0.0265,1,1x3x224x224
global_avg_mlp_tiny,mlp,16,0.02675,1,1x3x224x224
global_avg_mlp_tiny,mlp,17,0.026209,1,1x3x224x224
global_avg_mlp_tiny,mlp,18,0.0265,1,1x3x224x224
global_avg_mlp_tiny,mlp,19,0.027042,1,1x3x224x224
global_avg_mlp_tiny,mlp,20,0.02625,1,1x3x224x224
global_avg_mlp_tiny,mlp,21,0.025708,1,1x3x224x224
global_avg_mlp_tiny,mlp,22,0.025375,1,1x3x224x224
global_avg_mlp_tiny,mlp,23,0.02525,1,1x3x224x224
global_avg_mlp_tiny,mlp,24,0.026,1,1x3x224x224
global_avg_mlp_tiny,mlp,25,0.026833,1,1x3x224x224
global_avg_mlp_tiny,mlp,26,0.026625,1,1x3x224x224
global_avg_mlp_tiny,mlp,27,0.026167,1,1x3x224x224
global_avg_mlp_tiny,mlp,28,0.025958,1,1x3x224x224
global_avg_mlp_tiny,mlp,29,0.026333,1,1x3x224x224
global_avg_mlp_tiny,mlp,30,0.025584,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,1,0.78875,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,2,0.774208,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,3,0.773167,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,4,0.786833,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,5,0.789208,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,6,1.12725,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,7,0.858958,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,8,0.813125,1,1x3x224x224
cnn_tiny_2conv,plain_cnn,9,0.78125,1,1x3x224x224
