model,trial,start_utc,end_utc,window_seconds_requested,window_seconds_actual,powermetrics_sample_interval_ms,powermetrics_requested_samples,parsed_samples,power_source,inferences,latency_ms_per_inference,mean_power_W,combined_power_W_mean,cpu_power_W_mean,gpu_power_W_mean,ane_power_W_mean,total_window_energy_J,energy_J_per_inference,warmup_trials,cooldown_seconds,raw_powermetrics_log,schedule_index
mobilenetv3_small,1,2026-04-30T17:47:40.188466+00:00,2026-04-30T17:48:01.467183+00:00,20.0,20.000135,1000,20,20,combined,2103,9.510288,7.2164,7.2164,7.21035,0.00605,0.0,144.32897241,0.068630039,10,10.0,measured_energy_powermetrics/raw_powermetrics/001_mobilenetv3_small_repeat1.txt,1
efficientnet_b0,1,2026-04-30T17:48:11.860724+00:00,2026-04-30T17:48:33.137772+00:00,20.0,20.025791,1000,20,20,combined,589,33.999645,8.01325,8.01325,7.91205,0.10115,0.0,160.471671069,0.272447659,10,10.0,measured_energy_powermetrics/raw_powermetrics/002_efficientnet_b0_repeat1.txt,2
mobilenetv2,1,2026-04-30T17:48:43.298112+00:00,2026-04-30T17:49:04.583728+00:00,20.0,20.004619,1000,20,20,combined,1793,11.157066,10.6694,10.6694,9.83115,0.767975,0.0704,213.437278854,0.119039196,10,10.0,measured_energy_powermetrics/raw_powermetrics/003_mobilenetv2_repeat1.txt,3
tiny_vit_5m,1,2026-04-30T17:49:14.914579+00:00,2026-04-30T17:49:36.173768+00:00,20.0,20.005369,1000,20,20,combined,795,25.163987,8.9129,8.9129,8.53005,0.382375,0.0,178.305857077,0.224284097,10,10.0,measured_energy_powermetrics/raw_powermetrics/004_tiny_vit_5m_repeat1.txt,4
resnet18,1,2026-04-30T17:49:46.333790+00:00,2026-04-30T17:50:07.546633+00:00,20.0,20.007087,1000,20,20,combined,1961,10.202492,7.05615,7.05615,7.00555,0.0505,0.0,141.173005764,0.071990314,10,10.0,measured_energy_powermetrics/raw_powermetrics/005_resnet18_repeat1.txt,5
mobilenetv3_small,2,2026-04-30T17:50:17.689960+00:00,2026-04-30T17:50:38.979131+00:00,20.0,20.008388,1000,20,20,combined,2101,9.523269,5.9082,5.9082,5.8331,0.075025,0.0,118.213558968,0.056265378,10,10.0,measured_energy_powermetrics/raw_powermetrics/006_mobilenetv3_small_repeat2.txt,6
efficientnet_b0,2,2026-04-30T17:50:49.369805+00:00,2026-04-30T17:51:10.632966+00:00,20.0,20.001404,1000,20,20,combined,587,34.073942,6.6201,6.6201,6.3962,0.223925,0.0,132.411295719,0.225572906,10,10.0,measured_energy_powermetrics/raw_powermetrics/007_efficientnet_b0_repeat2.txt,7
tiny_vit_5m,2,2026-04-30T17:51:20.921426+00:00,2026-04-30T17:51:42.163572+00:00,20.0,20.018291,1000,20,20,combined,784,25.533535,8.98,8.98,8.58565,0.3946,0.0,179.764256548,0.229291144,10,10.0,measured_energy_powermetrics/raw_powermetrics/008_tiny_vit_5m_repeat2.txt,8
resnet18,2,2026-04-30T17:51:52.327780+00:00,2026-04-30T17:52:13.591850+00:00,20.0,20.001372,1000,20,20,combined,1815,11.02004,8.3518,8.3518,7.6704,0.681375,0.0,167.047456231,0.092037166,10,10.0,measured_energy_powermetrics/raw_powermetrics/009_resnet18_repeat2.txt,9
mobilenetv2,2,2026-04-30T17:52:23.750154+00:00,2026-04-30T17:52:45.051987+00:00,20.0,20.001832,1000,20,20,combined,1910,10.472163,6.0519,6.0519,5.9871,0.064825,0.0,121.049087837,0.063376486,10,10.0,measured_energy_powermetrics/raw_powermetrics/010_mobilenetv2_repeat2.txt,10
