model,trial,start_utc,end_utc,window_seconds_requested,window_seconds_actual,powermetrics_sample_interval_ms,powermetrics_requested_samples,parsed_samples,power_source,inferences,latency_ms_per_inference,mean_power_W,combined_power_W_mean,cpu_power_W_mean,gpu_power_W_mean,ane_power_W_mean,total_window_energy_J,energy_J_per_inference,warmup_trials,cooldown_seconds,raw_powermetrics_log,schedule_index
mobilenetv3_small,1,2026-05-15T03:36:45.637282+00:00,2026-05-15T03:37:07.059110+00:00,20.0,20.007312,1000,20,20,combined,2082,9.60966,5.6928,5.6928,5.69255,0.00025,0.0,113.897628361,0.054705873,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/001_mobilenetv3_small_repeat1.txt,1
efficientnet_b0,1,2026-05-15T03:37:17.451292+00:00,2026-05-15T03:37:38.859752+00:00,20.0,20.013866,1000,20,20,combined,580,34.506666,6.6712,6.6712,6.63155,0.0397,0.0,133.516503133,0.230200867,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/002_efficientnet_b0_repeat1.txt,2
mobilenetv2,1,2026-05-15T03:37:49.037468+00:00,2026-05-15T03:38:10.417333+00:00,20.0,20.000576,1000,20,20,combined,1846,10.834548,7.0597,7.0597,6.98985,0.06955,0.00025,141.198065801,0.07648866,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/003_mobilenetv2_repeat1.txt,3
tiny_vit_5m,1,2026-05-15T03:38:20.792264+00:00,2026-05-15T03:38:42.130209+00:00,20.0,20.016682,1000,20,20,combined,801,24.989615,7.30665,7.30665,7.2848,0.02115,0.0007,146.254885882,0.182590369,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/004_tiny_vit_5m_repeat1.txt,4
resnet18,1,2026-05-15T03:38:52.309351+00:00,2026-05-15T03:39:13.655335+00:00,20.0,20.011189,1000,20,20,combined,1917,10.438805,6.8296,6.8296,6.824,0.0048,0.0009,136.668417248,0.071292862,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/005_resnet18_repeat1.txt,5
mobilenetv3_small,2,2026-05-15T03:39:23.809367+00:00,2026-05-15T03:39:45.231856+00:00,20.0,20.005151,1000,20,20,combined,2046,9.777689,5.3518,5.3518,5.3296,0.02225,0.0,107.063567122,0.052328234,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/006_mobilenetv3_small_repeat2.txt,6
efficientnet_b0,2,2026-05-15T03:39:55.657232+00:00,2026-05-15T03:40:17.077484+00:00,20.0,20.01344,1000,20,20,combined,578,34.625328,6.0428,6.0428,6.0049,0.037875,0.0,120.937214229,0.209233935,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/007_efficientnet_b0_repeat2.txt,7
tiny_vit_5m,2,2026-05-15T03:40:27.409342+00:00,2026-05-15T03:40:48.764983+00:00,20.0,20.00673,1000,20,20,combined,771,25.949066,7.9345,7.9345,7.9066,0.027875,0.0,158.743398193,0.205892864,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/008_tiny_vit_5m_repeat2.txt,8
resnet18,2,2026-05-15T03:40:58.969351+00:00,2026-05-15T03:41:20.322310+00:00,20.0,20.010234,1000,20,20,combined,1863,10.740866,7.0578,7.0578,7.0125,0.04535,0.0,141.22822805,0.075806886,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/009_resnet18_repeat2.txt,9
mobilenetv2,2,2026-05-15T03:41:30.501366+00:00,2026-05-15T03:41:51.919670+00:00,20.0,20.001424,1000,20,20,combined,1803,11.093413,7.94175,7.94175,7.77915,0.162525,0.0,158.846309386,0.088101114,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/010_mobilenetv2_repeat2.txt,10
mobilenetv3_small,3,2026-05-15T03:42:02.069078+00:00,2026-05-15T03:42:23.514640+00:00,20.0,20.001379,1000,20,20,combined,2011,9.945986,6.07435,6.07435,6.0256,0.048725,0.0,121.495374761,0.060415403,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/011_mobilenetv3_small_repeat3.txt,11
tiny_vit_5m,3,2026-05-15T03:42:33.833634+00:00,2026-05-15T03:42:55.181482+00:00,20.0,20.008096,1000,20,20,combined,794,25.199114,7.12745,7.12745,7.09625,0.031225,0.0,142.606707399,0.179605425,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/012_tiny_vit_5m_repeat3.txt,12
mobilenetv2,3,2026-05-15T03:43:05.349194+00:00,2026-05-15T03:43:26.763722+00:00,20.0,20.000705,1000,20,20,combined,1855,10.782051,6.5079,6.5079,6.44955,0.0582,0.0,130.162585089,0.070168509,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/013_mobilenetv2_repeat3.txt,13
efficientnet_b0,3,2026-05-15T03:43:37.168119+00:00,2026-05-15T03:43:58.562233+00:00,20.0,20.014192,1000,20,20,combined,575,34.80729,6.5431,6.5431,6.47055,0.0727,0.0,130.954858583,0.22774758,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/014_efficientnet_b0_repeat3.txt,14
resnet18,3,2026-05-15T03:44:08.759827+00:00,2026-05-15T03:44:30.105710+00:00,20.0,20.006962,1000,20,20,combined,1885,10.613773,7.0018,7.0018,6.96575,0.0363,0.0,140.084748282,0.074315516,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/015_resnet18_repeat3.txt,15
efficientnet_b0,4,2026-05-15T03:44:40.507512+00:00,2026-05-15T03:45:01.901606+00:00,20.0,20.030086,1000,20,20,combined,577,34.714186,6.35755,6.35755,6.3085,0.049075,0.0,127.342270605,0.220697176,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/016_efficientnet_b0_repeat4.txt,16
mobilenetv3_small,4,2026-05-15T03:45:12.049660+00:00,2026-05-15T03:45:33.550090+00:00,20.0,20.008594,1000,20,20,combined,2005,9.979349,6.2009,6.2009,6.09735,0.10355,0.0,124.07129157,0.061880943,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/017_mobilenetv3_small_repeat4.txt,17
resnet18,4,2026-05-15T03:45:43.713064+00:00,2026-05-15T03:46:05.106444+00:00,20.0,20.002948,1000,20,20,combined,1885,10.611643,6.782,6.782,6.735,0.047075,0.0,135.659991925,0.071968165,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/018_resnet18_repeat4.txt,18
mobilenetv2,4,2026-05-15T03:46:15.277572+00:00,2026-05-15T03:46:36.679614+00:00,20.0,20.005109,1000,20,20,combined,1864,10.732355,6.1418,6.1418,6.11445,0.027625,0.0,122.867381275,0.065915977,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/019_mobilenetv2_repeat4.txt,19
tiny_vit_5m,4,2026-05-15T03:46:47.002807+00:00,2026-05-15T03:47:08.356705+00:00,20.0,20.002096,1000,20,20,combined,796,25.128261,7.4163,7.4163,7.2885,0.12785,0.0,148.341543638,0.186358723,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/020_tiny_vit_5m_repeat4.txt,20
mobilenetv2,5,2026-05-15T03:47:18.529079+00:00,2026-05-15T03:47:39.920450+00:00,20.0,20.002383,1000,20,20,combined,1765,11.332795,8.9676,8.9676,8.4925,0.4738,0.00125,179.373373521,0.101627974,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/021_mobilenetv2_repeat5.txt,21
efficientnet_b0,5,2026-05-15T03:47:50.319595+00:00,2026-05-15T03:48:11.716647+00:00,20.0,20.002158,1000,20,20,combined,575,34.786362,6.8676,6.8676,6.6548,0.2128,0.0,137.366822568,0.238898822,10,10.0,measured_energy_powermetrics_friend_m4/raw_powermetrics/022_efficientnet_b0_repeat5.txt,22
