model,trial,start_utc,end_utc,window_seconds_requested,window_seconds_actual,powermetrics_sample_interval_ms,powermetrics_requested_samples,parsed_samples,power_source,inferences,latency_ms_per_inference,mean_power_W,combined_power_W_mean,cpu_power_W_mean,gpu_power_W_mean,ane_power_W_mean,total_window_energy_J,energy_J_per_inference,warmup_trials,cooldown_seconds,raw_powermetrics_log,schedule_index
mobilenetv3_small,1,2026-05-16T19:31:28.097208+00:00,2026-05-16T19:31:49.508450+00:00,20.0,20.012456,1000,20,20,combined,1416,14.13309,5.2719,5.2719,5.2329,0.03915,0.0,105.503667224,0.07450824,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/001_mobilenetv3_small_repeat1.txt,1
efficientnet_b0,1,2026-05-16T19:32:00.055625+00:00,2026-05-16T19:32:21.293950+00:00,20.0,20.028702,1000,20,20,combined,415,48.261933,4.69305,4.69305,4.69295,0.0001,0.0,93.995700705,0.226495664,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/002_efficientnet_b0_repeat1.txt,2
mobilenetv2,1,2026-05-16T19:32:31.525066+00:00,2026-05-16T19:32:52.778406+00:00,20.0,20.007913,1000,20,20,combined,1215,16.467418,5.07575,5.07575,5.0756,0.00015,0.0,101.555162086,0.083584496,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/003_mobilenetv2_repeat1.txt,3
tiny_vit_5m,1,2026-05-16T19:33:03.182047+00:00,2026-05-16T19:33:24.445042+00:00,20.0,20.023733,1000,20,20,combined,620,32.296344,4.86105,4.86105,4.86095,0.0001,0.0,97.336368515,0.156994143,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/004_tiny_vit_5m_repeat1.txt,4
resnet18,1,2026-05-16T19:33:34.701545+00:00,2026-05-16T19:33:55.953491+00:00,20.0,20.009541,1000,20,20,combined,996,20.089901,4.6798,4.6798,4.6796,0.0001,0.00015,93.640650945,0.094016718,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/005_resnet18_repeat1.txt,5
mobilenetv3_small,2,2026-05-16T19:34:06.153945+00:00,2026-05-16T19:34:27.373195+00:00,20.0,20.007443,1000,20,20,combined,1496,13.37396,4.59285,4.59285,4.59275,0.0001,0.0,91.891186498,0.06142459,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/006_mobilenetv3_small_repeat2.txt,6
efficientnet_b0,2,2026-05-16T19:34:37.916821+00:00,2026-05-16T19:34:59.128144+00:00,20.0,20.021401,1000,20,20,combined,415,48.244341,4.69145,4.69145,4.69095,0.000525,0.0,93.929403875,0.226335913,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/007_efficientnet_b0_repeat2.txt,7
tiny_vit_5m,2,2026-05-16T19:35:09.517860+00:00,2026-05-16T19:35:30.756410+00:00,20.0,20.012095,1000,20,20,combined,666,30.048191,5.07175,5.07175,5.07165,0.0001,0.0,101.49634239,0.15239691,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/008_tiny_vit_5m_repeat2.txt,8
resnet18,2,2026-05-16T19:35:41.030142+00:00,2026-05-16T19:36:02.282655+00:00,20.0,20.000322,1000,20,20,combined,1011,19.782713,4.71005,4.71005,4.70995,0.0001,0.0,94.202518402,0.093177565,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/009_resnet18_repeat2.txt,9
mobilenetv2,2,2026-05-16T19:36:12.513069+00:00,2026-05-16T19:36:33.748706+00:00,20.0,20.015479,1000,20,20,combined,1214,16.487215,5.06275,5.06275,5.06265,0.0001,0.0,101.333366095,0.083470648,10,10.0,measured_energy_powermetrics_m1/raw_powermetrics/010_mobilenetv2_repeat2.txt,10
