model,family,backend,batch_size,image_size,n_windows,parsed_windows,total_inferences,inferences_per_window_mean,inferences_per_window_std,energy_mean_J,energy_std_J,energy_sem_J,energy_ci95_low_J,energy_ci95_high_J,latency_mean_ms,latency_std_ms,mean_power_W,mean_power_std_W
global_avg_mlp_tiny,mlp,cpu,1,128,5,5,5591991,1118398.2,49377.347,8.5545e-05,4.607e-06,2.06e-06,7.9826e-05,9.1264e-05,0.017911,0.000793,4.7781,0.215867
cnn_tiny_2conv,plain_cnn,cpu,1,128,5,5,359045,71809.0,180.024,0.001587869,6.8639e-05,3.0696e-05,0.001502656,0.001673082,0.278521,0.000698,5.70073,0.235151
cnn_small_4conv,plain_cnn,cpu,1,128,5,5,207040,41408.0,86.487,0.0026895,5.2164e-05,2.3328e-05,0.00262474,0.002754259,0.483006,0.00101,5.56818,0.102204
cnn_medium_6conv,plain_cnn,cpu,1,128,5,5,105801,21160.2,76.985,0.005273571,0.000260516,0.000116506,0.004950149,0.005596993,0.945206,0.003428,5.5787,0.259293
depthwise_small,depthwise_cnn,cpu,1,128,5,5,188253,37650.6,40.943,0.002818019,3.3795e-05,1.5113e-05,0.002776065,0.002859974,0.531209,0.000579,5.30489,0.060585
depthwise_medium,depthwise_cnn,cpu,1,128,5,5,130138,26027.6,396.291,0.004363599,0.000497785,0.000222616,0.003745616,0.004981582,0.768778,0.011744,5.67494,0.626555
inverted_residual_small,inverted_residual,cpu,1,128,5,5,85437,17087.4,167.965,0.007109265,0.000377169,0.000168675,0.006641023,0.007577507,1.170576,0.011647,6.07127,0.259148
inverted_residual_wide,inverted_residual,cpu,1,128,5,5,23792,4758.4,57.348,0.023401384,0.001206927,0.000539754,0.021903027,0.024899742,4.2039,0.050533,5.56844,0.319951
residual_cnn_small,residual_cnn,cpu,1,128,5,5,84562,16912.4,154.83,0.006711506,0.000393234,0.00017586,0.006223319,0.007199693,1.182675,0.01085,5.67357,0.297874
residual_cnn_medium,residual_cnn,cpu,1,128,5,5,41573,8314.6,92.654,0.012805284,0.000492186,0.000220112,0.012194252,0.013416315,2.405796,0.027129,5.32286,0.202365
bottleneck_residual,bottleneck_cnn,cpu,1,128,5,5,82714,16542.8,151.935,0.006981769,0.000479017,0.000214223,0.006387086,0.007576452,1.209114,0.011163,5.77198,0.346063
grouped_conv_cnn,grouped_cnn,cpu,1,128,5,5,148154,29630.8,183.714,0.003752861,0.000182429,8.1585e-05,0.003526382,0.00397934,0.675005,0.004209,5.55867,0.23624
squeeze_expand_cnn,squeeze_cnn,cpu,1,128,5,5,92724,18544.8,110.681,0.006157162,0.000315063,0.0001409,0.005766023,0.006548302,1.078542,0.006471,5.70757,0.256794
convnext_micro,convnext_like,cpu,1,128,5,5,29595,5919.0,115.748,0.018562602,0.001279945,0.000572409,0.016973596,0.020151608,3.380251,0.067772,5.48732,0.262964
attention_gate_cnn,attention_cnn,cpu,1,128,5,5,119900,23980.0,124.479,0.004735157,0.00031334,0.00014013,0.004346156,0.005124158,0.834063,0.004349,5.67603,0.350376
