model,family,n_windows,parsed_windows,total_inferences,inferences_per_window_mean,inferences_per_window_std,energy_mean_J,energy_std_J,energy_sem_J,energy_ci95_low_J,energy_ci95_high_J,latency_mean_ms,latency_std_ms,mean_power_W,mean_power_std_W
global_avg_mlp_tiny,mlp,10,10,14348865,1434886.5,67632.741,0.000117053,3.0427e-05,9.622e-06,9.5288e-05,0.000138818,0.020954,0.001086,5.538217,1.049135
cnn_tiny_2conv,plain_cnn,10,10,389917,38991.7,513.941,0.005021112,0.000715117,0.00022614,0.004509583,0.00553264,0.769528,0.010265,6.515777,0.841122
cnn_small_4conv,plain_cnn,10,10,229900,22990.0,751.542,0.009550133,0.002434943,0.000769997,0.007808401,0.011291866,1.306237,0.043871,7.264573,1.58708
cnn_medium_6conv,plain_cnn,10,10,124405,12440.5,390.048,0.015867152,0.004191641,0.001325513,0.01286884,0.018865463,2.413823,0.078906,6.530837,1.459228
depthwise_small,depthwise_cnn,10,10,232879,23287.9,339.233,0.007966065,0.000836497,0.000264523,0.007367713,0.008564417,1.288501,0.018836,6.176177,0.570045
depthwise_medium,depthwise_cnn,10,10,157706,15770.6,494.343,0.013283337,0.0028045,0.000886861,0.011277258,0.015289416,1.904054,0.060332,6.941733,1.237738
inverted_residual_small,inverted_residual,10,10,90636,9063.6,188.047,0.023126106,0.004129839,0.00130597,0.020172003,0.026080209,3.311465,0.070401,6.96387,1.08348
inverted_residual_wide,inverted_residual,10,10,44107,4410.7,160.2,0.048977846,0.013670425,0.004322968,0.039199292,0.058756399,6.811268,0.268972,7.134843,1.590449
residual_cnn_small,residual_cnn,10,10,87395,8739.5,182.934,0.022313022,0.003624525,0.001146176,0.019720373,0.024905671,3.43431,0.071468,6.48895,0.978532
residual_cnn_medium,residual_cnn,10,10,44444,4444.4,142.896,0.042594295,0.005386166,0.001703255,0.038741531,0.046447058,6.757053,0.215213,6.327743,0.968667
bottleneck_residual,bottleneck_cnn,10,10,86758,8675.8,162.613,0.022523885,0.003169556,0.001002302,0.020256679,0.024791092,3.459222,0.065984,6.49954,0.791845
grouped_conv_cnn,grouped_cnn,10,10,171833,17183.3,216.12,0.011203609,0.001322921,0.000418345,0.010257313,0.012149904,1.746175,0.02227,6.40893,0.665758
squeeze_expand_cnn,squeeze_cnn,10,10,97137,9713.7,99.052,0.019550681,0.001432232,0.000452911,0.018526195,0.020575167,3.088888,0.031674,6.326707,0.413385
convnext_micro,convnext_like,10,10,43920,4392.0,53.928,0.044172498,0.003360124,0.001062565,0.041768977,0.046576019,6.832094,0.084113,6.461517,0.416099
attention_gate_cnn,attention_cnn,10,10,125613,12561.3,292.185,0.01662951,0.002933973,0.000927804,0.014530818,0.018728202,2.38956,0.055971,6.93758,1.05845
patch_mixer_small,mixer,10,10,695823,69582.3,1930.803,0.002841027,0.000432073,0.000136633,0.002531962,0.003150091,0.431448,0.012049,6.5654,0.817335
patch_mixer_medium,mixer,10,10,405667,40566.7,1600.354,0.005337417,0.001348533,0.000426443,0.004372801,0.006302032,0.740598,0.030015,7.15331,1.486912
