model,family,trial,start_utc,end_utc,window_seconds_requested,window_seconds_actual,powermetrics_sample_interval_ms,powermetrics_requested_samples,parsed_samples,power_source,inferences,latency_ms_per_inference,mean_power_W,combined_power_W_mean,cpu_power_W_mean,gpu_power_W_mean,ane_power_W_mean,total_window_energy_J,energy_J_per_inference,warmup_trials,cooldown_seconds,raw_powermetrics_log,schedule_index
depthwise_small,depthwise_cnn,1,2026-05-23T21:27:17.487876+00:00,2026-05-23T21:27:49.048495+00:00,30.0,30.00126,1000,30,30,combined,22711,1.321001,6.608067,6.608067,6.5746,0.033533,0.0,198.250328642,0.008729265,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/001_depthwise_small_repeat1.txt,1
bottleneck_residual,bottleneck_cnn,1,2026-05-23T21:27:59.139418+00:00,2026-05-23T21:28:30.660881+00:00,30.0,30.001822,1000,30,30,combined,8795,3.411236,6.744067,6.744067,6.733967,0.010217,0.0,202.334286563,0.023005604,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/002_bottleneck_residual_repeat1.txt,2
residual_cnn_medium,residual_cnn,1,2026-05-23T21:28:40.820190+00:00,2026-05-23T21:29:12.363928+00:00,30.0,30.004681,1000,30,30,combined,4614,6.502965,7.682533,7.682533,7.624933,0.0576,0.0,230.511958735,0.049959245,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/003_residual_cnn_medium_repeat1.txt,3
grouped_conv_cnn,grouped_cnn,1,2026-05-23T21:29:22.440989+00:00,2026-05-23T21:29:53.965448+00:00,30.0,30.001279,1000,30,30,combined,17190,1.745275,6.4513,6.4513,6.4259,0.025317,0.0,193.547250135,0.011259293,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/004_grouped_conv_cnn_repeat1.txt,4
cnn_small_4conv,plain_cnn,1,2026-05-23T21:30:04.023337+00:00,2026-05-23T21:30:35.558773+00:00,30.0,30.000509,1000,30,30,combined,22433,1.337338,8.725267,8.725267,8.504733,0.220517,0.0,261.762437522,0.011668633,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/005_cnn_small_4conv_repeat1.txt,5
attention_gate_cnn,attention_cnn,1,2026-05-23T21:30:45.646563+00:00,2026-05-23T21:31:17.177301+00:00,30.0,30.001168,1000,30,30,combined,12390,2.421402,7.254333,7.254333,7.0837,0.170483,0.0,217.638473663,0.017565656,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/006_attention_gate_cnn_repeat1.txt,6
inverted_residual_small,inverted_residual,1,2026-05-23T21:31:27.270526+00:00,2026-05-23T21:31:58.783092+00:00,30.0,30.000321,1000,30,30,combined,9038,3.319354,6.968167,6.968167,6.806833,0.161233,0.0,209.047238231,0.023129812,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/007_inverted_residual_small_repeat1.txt,7
convnext_micro,convnext_like,1,2026-05-23T21:32:08.961118+00:00,2026-05-23T21:32:40.540776+00:00,30.0,30.000965,1000,30,30,combined,4394,6.827712,6.2314,6.2314,6.1289,0.102267,0.0,186.948015121,0.042546203,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/008_convnext_micro_repeat1.txt,8
depthwise_medium,depthwise_cnn,1,2026-05-23T21:32:50.655256+00:00,2026-05-23T21:33:22.252281+00:00,30.0,30.001428,1000,30,30,combined,16001,1.874972,6.507467,6.507467,6.362467,0.144783,0.0,195.233292662,0.012201318,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/009_depthwise_medium_repeat1.txt,9
patch_mixer_small,mixer,1,2026-05-23T21:33:32.288367+00:00,2026-05-23T21:34:03.871911+00:00,30.0,30.000129,1000,30,30,combined,70825,0.423581,6.067133,6.067133,5.961033,0.105883,0.0,182.014781902,0.002569923,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/010_patch_mixer_small_repeat1.txt,10
cnn_tiny_2conv,plain_cnn,1,2026-05-23T21:34:13.916364+00:00,2026-05-23T21:34:45.446216+00:00,30.0,30.000759,1000,30,30,combined,39234,0.764662,6.109033,6.109033,6.003033,0.1059,0.0,183.275639811,0.004671347,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/011_cnn_tiny_2conv_repeat1.txt,11
patch_mixer_medium,mixer,1,2026-05-23T21:34:55.486428+00:00,2026-05-23T21:35:27.074988+00:00,30.0,30.00038,1000,30,30,combined,41059,0.730665,6.432,6.432,6.303667,0.128367,0.0,192.962442282,0.004699638,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/012_patch_mixer_medium_repeat1.txt,12
inverted_residual_wide,inverted_residual,1,2026-05-23T21:35:37.254056+00:00,2026-05-23T21:36:08.759537+00:00,30.0,30.003786,1000,30,30,combined,4461,6.725798,6.799367,6.799367,6.6871,0.11215,3.3e-05,204.006742402,0.045731168,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/013_inverted_residual_wide_repeat1.txt,13
cnn_medium_6conv,plain_cnn,1,2026-05-23T21:36:18.845362+00:00,2026-05-23T21:36:50.349620+00:00,30.0,30.002467,1000,30,30,combined,12544,2.391778,6.3071,6.3071,6.191733,0.1152,0.0,189.228556721,0.015085185,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/014_cnn_medium_6conv_repeat1.txt,14
global_avg_mlp_tiny,mlp,1,2026-05-23T21:37:00.363323+00:00,2026-05-23T21:37:32.028867+00:00,30.0,30.000029,1000,30,30,combined,1431957,0.02095,5.454367,5.454367,5.3435,0.110567,0.0,163.631160446,0.000114271,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/015_global_avg_mlp_tiny_repeat1.txt,15
squeeze_expand_cnn,squeeze_cnn,1,2026-05-23T21:37:42.137977+00:00,2026-05-23T21:38:13.650663+00:00,30.0,30.000717,1000,30,30,combined,9745,3.078575,6.315,6.315,6.208767,0.106083,0.0,189.45452759,0.019441203,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/016_squeeze_expand_cnn_repeat1.txt,16
residual_cnn_small,residual_cnn,1,2026-05-23T21:38:23.757502+00:00,2026-05-23T21:38:55.285064+00:00,30.0,30.000217,1000,30,30,combined,8557,3.505927,6.904767,6.904767,6.783633,0.121133,0.0,207.144495745,0.024207607,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/017_residual_cnn_small_repeat1.txt,17
cnn_tiny_2conv,plain_cnn,2,2026-05-23T21:39:05.328860+00:00,2026-05-23T21:39:36.838458+00:00,30.0,30.00024,1000,30,30,combined,39339,0.762608,6.005933,6.005933,5.899933,0.105933,0.0,180.179444427,0.004580173,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/018_cnn_tiny_2conv_repeat2.txt,18
cnn_medium_6conv,plain_cnn,2,2026-05-23T21:39:46.928607+00:00,2026-05-23T21:40:18.481587+00:00,30.0,30.001923,1000,30,30,combined,11619,2.582143,9.5855,9.5855,9.3264,0.2591,0.0,287.58343331,0.024751135,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/019_cnn_medium_6conv_repeat2.txt,19
depthwise_medium,depthwise_cnn,2,2026-05-23T21:40:28.549465+00:00,2026-05-23T21:41:00.212624+00:00,30.0,30.000751,1000,30,30,combined,15139,1.981686,8.526433,8.526433,8.422767,0.1037,0.0,255.79940122,0.016896717,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/020_depthwise_medium_repeat2.txt,20
attention_gate_cnn,attention_cnn,2,2026-05-23T21:41:10.291074+00:00,2026-05-23T21:41:41.827315+00:00,30.0,30.001283,1000,30,30,combined,12157,2.46782,8.3579,8.3579,8.222533,0.1355,0.0,250.747720403,0.020625789,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/021_attention_gate_cnn_repeat2.txt,21
patch_mixer_medium,mixer,2,2026-05-23T21:41:51.868170+00:00,2026-05-23T21:42:23.533220+00:00,30.0,30.000275,1000,30,30,combined,38821,0.772785,8.843633,8.843633,8.640633,0.202767,0.0,265.311431637,0.006834225,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/022_patch_mixer_medium_repeat2.txt,22
bottleneck_residual,bottleneck_cnn,2,2026-05-23T21:42:33.639449+00:00,2026-05-23T21:43:05.155561+00:00,30.0,30.003438,1000,30,30,combined,8390,3.576095,8.147867,8.147867,7.976567,0.171467,0.0,244.46401305,0.029137546,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/023_bottleneck_residual_repeat2.txt,23
residual_cnn_small,residual_cnn,2,2026-05-23T21:43:15.258303+00:00,2026-05-23T21:43:46.832462+00:00,30.0,30.002919,1000,30,30,combined,8481,3.537663,8.3764,8.3764,8.2135,0.162933,0.0,251.31644757,0.029632879,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/024_residual_cnn_small_repeat2.txt,24
residual_cnn_medium,residual_cnn,2,2026-05-23T21:43:57.002194+00:00,2026-05-23T21:44:28.567326+00:00,30.0,30.002807,1000,30,30,combined,4244,7.069464,5.061767,5.061767,5.0615,0.0003,0.0,151.867209644,0.03578398,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/025_residual_cnn_medium_repeat2.txt,25
inverted_residual_wide,inverted_residual,2,2026-05-23T21:44:38.741904+00:00,2026-05-23T21:45:10.259090+00:00,30.0,30.001491,1000,30,30,combined,4457,6.73132,6.548133,6.548133,6.499933,0.04815,0.0,196.453766541,0.044077578,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/026_inverted_residual_wide_repeat2.txt,26
convnext_micro,convnext_like,2,2026-05-23T21:45:20.437362+00:00,2026-05-23T21:45:52.030800+00:00,30.0,30.004108,1000,30,30,combined,4384,6.844003,6.251467,6.251467,6.2237,0.027783,0.0,187.569683632,0.042785056,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/027_convnext_micro_repeat2.txt,27
global_avg_mlp_tiny,mlp,2,2026-05-23T21:46:02.056230+00:00,2026-05-23T21:46:33.733919+00:00,30.0,30.000021,1000,30,30,combined,1258827,0.023832,8.459567,8.459567,7.774633,0.65675,0.028333,253.787174123,0.000201606,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/028_global_avg_mlp_tiny_repeat2.txt,28
inverted_residual_small,inverted_residual,2,2026-05-23T21:46:43.835111+00:00,2026-05-23T21:47:15.373315+00:00,30.0,30.001344,1000,30,30,combined,8655,3.46636,8.7628,8.7628,8.2955,0.459183,0.008133,262.895775381,0.030375017,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/029_inverted_residual_small_repeat2.txt,29
patch_mixer_small,mixer,2,2026-05-23T21:47:25.396222+00:00,2026-05-23T21:47:57.008521+00:00,30.0,30.000208,1000,30,30,combined,66250,0.452833,7.818733,7.818733,7.5018,0.317133,0.0,234.563623365,0.003540583,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/030_patch_mixer_small_repeat2.txt,30
depthwise_small,depthwise_cnn,2,2026-05-23T21:48:07.073013+00:00,2026-05-23T21:48:38.660523+00:00,30.0,30.001232,1000,30,30,combined,22944,1.307585,7.125267,7.125267,7.03,0.04,0.055367,213.766779518,0.009316892,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/031_depthwise_small_repeat2.txt,31
cnn_small_4conv,plain_cnn,2,2026-05-23T21:48:48.713498+00:00,2026-05-23T21:49:20.265465+00:00,30.0,30.00102,1000,30,30,combined,21962,1.366042,8.9038,8.9038,8.466467,0.4366,0.000833,267.123080763,0.012162967,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/032_cnn_small_4conv_repeat2.txt,32
squeeze_expand_cnn,squeeze_cnn,2,2026-05-23T21:49:30.368857+00:00,2026-05-23T21:50:01.908504+00:00,30.0,30.00296,1000,30,30,combined,9725,3.085137,6.153633,6.153633,6.110567,0.04305,0.0,184.627214755,0.018984804,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/033_squeeze_expand_cnn_repeat2.txt,33
grouped_conv_cnn,grouped_cnn,2,2026-05-23T21:50:11.982430+00:00,2026-05-23T21:50:43.539444+00:00,30.0,30.001283,1000,30,30,combined,17215,1.742741,6.231367,6.231367,6.190667,0.040117,0.0006,186.948996401,0.010859657,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/034_grouped_conv_cnn_repeat2.txt,34
patch_mixer_medium,mixer,3,2026-05-23T21:50:53.583392+00:00,2026-05-23T21:51:25.172986+00:00,30.0,30.000479,1000,30,30,combined,40954,0.732541,6.3277,6.3277,6.2697,0.05805,0.0,189.834029121,0.004635299,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/035_patch_mixer_medium_repeat3.txt,35
cnn_medium_6conv,plain_cnn,3,2026-05-23T21:51:35.258332+00:00,2026-05-23T21:52:06.781342+00:00,30.0,30.002319,1000,30,30,combined,12556,2.389481,5.824167,5.824167,5.810967,0.013267,0.0,174.73850891,0.013916734,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/036_cnn_medium_6conv_repeat3.txt,36
residual_cnn_small,residual_cnn,3,2026-05-23T21:52:16.888946+00:00,2026-05-23T21:52:48.429399+00:00,30.0,30.002679,1000,30,30,combined,8772,3.420278,8.064133,8.064133,7.912533,0.151717,0.0,241.94560516,0.027581578,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/037_residual_cnn_small_repeat3.txt,37
cnn_tiny_2conv,plain_cnn,3,2026-05-23T21:52:58.472556+00:00,2026-05-23T21:53:29.971589+00:00,30.0,30.000104,1000,30,30,combined,39081,0.767639,6.0916,6.0916,6.053967,0.037717,0.0,182.748633526,0.00467615,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/038_cnn_tiny_2conv_repeat3.txt,38
inverted_residual_wide,inverted_residual,3,2026-05-23T21:53:40.145286+00:00,2026-05-23T21:54:11.678321+00:00,30.0,30.001378,1000,30,30,combined,4479,6.698231,6.631733,6.631733,6.591267,0.04055,0.0,198.961138529,0.044420884,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/039_inverted_residual_wide_repeat3.txt,39
grouped_conv_cnn,grouped_cnn,3,2026-05-23T21:54:21.750019+00:00,2026-05-23T21:54:53.281758+00:00,30.0,30.000626,1000,30,30,combined,17137,1.750635,6.2602,6.2602,6.207567,0.0527,0.0,187.809919411,0.010959323,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/040_grouped_conv_cnn_repeat3.txt,40
depthwise_small,depthwise_cnn,3,2026-05-23T21:55:03.343388+00:00,2026-05-23T21:55:34.936579+00:00,30.0,30.000795,1000,30,30,combined,23116,1.297837,5.978167,5.978167,5.9318,0.046333,0.0,179.349753641,0.007758685,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/041_depthwise_small_repeat3.txt,41
attention_gate_cnn,attention_cnn,3,2026-05-23T21:55:45.018755+00:00,2026-05-23T21:56:16.537544+00:00,30.0,30.00161,1000,30,30,combined,12725,2.35769,6.385767,6.385767,6.3519,0.033933,0.0,191.583282681,0.015055661,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/042_attention_gate_cnn_repeat3.txt,42
inverted_residual_small,inverted_residual,3,2026-05-23T21:56:26.683612+00:00,2026-05-23T21:56:58.199012+00:00,30.0,30.003127,1000,30,30,combined,9097,3.298134,6.542567,6.542567,6.5127,0.03,0.0,196.297455609,0.021578263,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/043_inverted_residual_small_repeat3.txt,43
bottleneck_residual,bottleneck_cnn,3,2026-05-23T21:57:08.313730+00:00,2026-05-23T21:57:39.860501+00:00,30.0,30.001797,1000,30,30,combined,8768,3.421738,6.018567,6.018567,5.992633,0.025333,0.000633,180.567817621,0.020593957,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/044_bottleneck_residual_repeat3.txt,44
convnext_micro,convnext_like,3,2026-05-23T21:57:50.035780+00:00,2026-05-23T21:58:21.629299+00:00,30.0,30.006305,1000,30,30,combined,4450,6.74299,6.119033,6.119033,6.101433,0.0177,0.0,183.609583565,0.041260581,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/045_convnext_micro_repeat3.txt,45
residual_cnn_medium,residual_cnn,3,2026-05-23T21:58:31.793759+00:00,2026-05-23T21:59:03.337480+00:00,30.0,30.000826,1000,30,30,combined,4525,6.630017,6.373,6.373,6.330967,0.042067,0.0,191.195263034,0.042253097,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/046_residual_cnn_medium_repeat3.txt,46
cnn_small_4conv,plain_cnn,3,2026-05-23T21:59:13.399096+00:00,2026-05-23T21:59:44.956537+00:00,30.0,30.000133,1000,30,30,combined,23345,1.285077,6.188867,6.188867,6.129867,0.05915,0.0,185.666824666,0.007953173,20,10.0,measured_energy_powermetrics_m4pro_arch17_cpu/raw_powermetrics/047_cnn_small_4conv_repeat3.txt,47
