model,family,backend,batch_size,image_size,trial,start_utc,end_utc,window_seconds_requested,window_seconds_actual,powermetrics_sample_interval_ms,powermetrics_requested_samples,parsed_samples,power_source,inferences,latency_ms_per_inference,mean_power_W,combined_power_W_mean,cpu_power_W_mean,gpu_power_W_mean,ane_power_W_mean,total_window_energy_J,energy_J_per_inference,warmup_trials,cooldown_seconds,raw_powermetrics_log,schedule_index
attention_gate_cnn,attention_cnn,cpu,4,224,1,2026-05-25T17:12:51.528815+00:00,2026-05-25T17:13:12.923869+00:00,20.0,20.006502,1000,20,20,combined,2000,10.003251,7.96885,7.96885,7.8424,0.12645,0.0,159.42881214,0.079714406,20,5.0,measured_energy_powermetrics_m4pro_arch17_cpu_b4_224/raw_powermetrics/001_attention_gate_cnn_repeat1.txt,1
inverted_residual_wide,inverted_residual,cpu,4,224,1,2026-05-25T17:13:18.606099+00:00,2026-05-25T17:13:39.942971+00:00,20.0,20.009455,1000,20,20,combined,696,28.749217,8.46605,8.46605,8.3921,0.07395,0.0,169.401045444,0.243392307,20,5.0,measured_energy_powermetrics_m4pro_arch17_cpu_b4_224/raw_powermetrics/002_inverted_residual_wide_repeat1.txt,2
residual_cnn_medium,residual_cnn,cpu,4,224,1,2026-05-25T17:13:45.695592+00:00,2026-05-25T17:14:07.058985+00:00,20.0,20.013141,1000,20,20,combined,665,30.094948,8.9215,8.9215,8.7082,0.18375,0.0293,178.547233337,0.26849208,20,5.0,measured_energy_powermetrics_m4pro_arch17_cpu_b4_224/raw_powermetrics/003_residual_cnn_medium_repeat1.txt,3
depthwise_small,depthwise_cnn,cpu,4,224,1,2026-05-25T17:14:12.188252+00:00,2026-05-25T17:14:33.540066+00:00,20.0,20.001697,1000,20,20,combined,4124,4.850072,7.20625,7.20625,7.0117,0.163275,0.0313,144.137225403,0.034950831,20,5.0,measured_energy_powermetrics_m4pro_arch17_cpu_b4_224/raw_powermetrics/004_depthwise_small_repeat1.txt,4
global_avg_mlp_tiny,mlp,cpu,4,224,1,2026-05-25T17:14:38.549696+00:00,2026-05-25T17:14:59.962783+00:00,20.0,20.00015,1000,20,20,combined,449530,0.044491,7.16085,7.16085,7.07755,0.083325,0.0,143.218073232,0.000318595,20,5.0,measured_energy_powermetrics_m4pro_arch17_cpu_b4_224/raw_powermetrics/005_global_avg_mlp_tiny_repeat1.txt,5
cnn_tiny_2conv,plain_cnn,cpu,4,224,1,2026-05-25T17:15:05.048323+00:00,2026-05-25T17:15:26.408205+00:00,20.0,20.00111,1000,20,20,combined,6388,3.131044,7.0187,7.0187,6.80565,0.2133,0.0,140.381792224,0.02197586,20,5.0,measured_energy_powermetrics_m4pro_arch17_cpu_b4_224/raw_powermetrics/006_cnn_tiny_2conv_repeat1.txt,6
patch_mixer_medium,mixer,cpu,4,224,1,2026-05-25T17:15:31.481147+00:00,2026-05-25T17:15:52.821900+00:00,20.0,20.00227,1000,20,20,combined,8023,2.493116,7.0392,7.0392,6.8672,0.1722,0.0,140.799982208,0.017549543,20,5.0,measured_energy_powermetrics_m4pro_arch17_cpu_b4_224/raw_powermetrics/007_patch_mixer_medium_repeat1.txt,7
grouped_conv_cnn,grouped_cnn,cpu,4,224,1,2026-05-25T17:15:57.988359+00:00,2026-05-25T17:16:19.346530+00:00,20.0,20.005961,1000,20,20,combined,2562,7.808728,8.2835,8.2835,7.9967,0.2869,0.0,165.719376212,0.064683597,20,5.0,measured_energy_powermetrics_m4pro_arch17_cpu_b4_224/raw_powermetrics/008_grouped_conv_cnn_repeat1.txt,8
patch_mixer_small,mixer,cpu,4,224,1,2026-05-25T17:16:24.404140+00:00,2026-05-25T17:16:45.746800+00:00,20.0,20.001097,1000,20,20,combined,14111,1.417412,7.53785,7.53785,7.21215,0.32585,0.0,150.765267763,0.010684237,20,5.0,measured_energy_powermetrics_m4pro_arch17_cpu_b4_224/raw_powermetrics/009_patch_mixer_small_repeat1.txt,9
depthwise_medium,depthwise_cnn,cpu,4,224,1,2026-05-25T17:16:50.922861+00:00,2026-05-25T17:17:12.280380+00:00,20.0,20.004115,1000,20,20,combined,2912,6.869545,6.36945,6.36945,6.0949,0.27475,0.0,127.415212147,0.043755224,20,5.0,measured_energy_powermetrics_m4pro_arch17_cpu_b4_224/raw_powermetrics/010_depthwise_medium_repeat1.txt,10
cnn_small_4conv,plain_cnn,cpu,4,224,1,2026-05-25T17:17:17.419038+00:00,2026-05-25T17:17:38.782317+00:00,20.0,20.000488,1000,20,20,combined,3594,5.564966,6.5582,6.5582,6.09445,0.463725,0.0,131.167199031,0.03649616,20,5.0,measured_energy_powermetrics_m4pro_arch17_cpu_b4_224/raw_powermetrics/011_cnn_small_4conv_repeat1.txt,11
bottleneck_residual,bottleneck_cnn,cpu,4,224,1,2026-05-25T17:17:44.139337+00:00,2026-05-25T17:18:05.499755+00:00,20.0,20.012435,1000,20,20,combined,1273,15.720688,6.70865,6.70865,6.42755,0.281125,0.0,134.256423465,0.10546459,20,5.0,measured_energy_powermetrics_m4pro_arch17_cpu_b4_224/raw_powermetrics/012_bottleneck_residual_repeat1.txt,12
convnext_micro,convnext_like,cpu,4,224,1,2026-05-25T17:18:11.074239+00:00,2026-05-25T17:18:32.454497+00:00,20.0,20.018414,1000,20,20,combined,741,27.015404,7.93765,7.93765,7.3921,0.54535,0.0,158.899163887,0.214438818,20,5.0,measured_energy_powermetrics_m4pro_arch17_cpu_b4_224/raw_powermetrics/013_convnext_micro_repeat1.txt,13
squeeze_expand_cnn,squeeze_cnn,cpu,4,224,1,2026-05-25T17:18:37.769520+00:00,2026-05-25T17:18:59.158880+00:00,20.0,20.001934,1000,20,20,combined,1354,14.772477,8.4679,8.4679,7.83005,0.638125,0.0,169.374376571,0.125091859,20,5.0,measured_energy_powermetrics_m4pro_arch17_cpu_b4_224/raw_powermetrics/014_squeeze_expand_cnn_repeat1.txt,14
cnn_medium_6conv,plain_cnn,cpu,4,224,1,2026-05-25T17:19:04.387877+00:00,2026-05-25T17:19:25.751355+00:00,20.0,20.007783,1000,20,20,combined,1956,10.228928,5.94975,5.94975,5.548,0.401775,0.0,119.041304423,0.060859563,20,5.0,measured_energy_powermetrics_m4pro_arch17_cpu_b4_224/raw_powermetrics/015_cnn_medium_6conv_repeat1.txt,15
residual_cnn_small,residual_cnn,cpu,4,224,1,2026-05-25T17:19:31.110040+00:00,2026-05-25T17:19:52.517400+00:00,20.0,20.003461,1000,20,20,combined,1251,15.989977,5.76105,5.76105,5.3618,0.39925,0.0,115.240937312,0.092119055,20,5.0,measured_energy_powermetrics_m4pro_arch17_cpu_b4_224/raw_powermetrics/016_residual_cnn_small_repeat1.txt,16
