model,family,backend,batch_size,image_size,n_windows,parsed_windows,total_inferences,inferences_per_window_mean,inferences_per_window_std,energy_mean_J,energy_std_J,energy_sem_J,energy_ci95_low_J,energy_ci95_high_J,latency_mean_ms,latency_std_ms,mean_power_W,mean_power_std_W
global_avg_mlp_tiny,mlp,mps,1,224,5,5,448835,89767.0,704.87,0.001147696,0.000121151,5.418e-05,0.000997292,0.001298101,0.222811,0.001746,5.15171,0.548787
cnn_tiny_2conv,plain_cnn,mps,1,224,5,5,255298,51059.6,2445.902,0.002933473,0.000613174,0.00027422,0.00217224,0.003694707,0.392458,0.019705,7.43027,1.132768
cnn_small_4conv,plain_cnn,mps,1,224,5,5,159645,31929.0,719.331,0.003886403,0.001387598,0.000620553,0.002163748,0.005609057,0.62666,0.014366,6.17711,2.148051
cnn_medium_6conv,plain_cnn,mps,1,224,5,5,124530,24906.0,1113.132,0.006446514,0.000704374,0.000315006,0.005572058,0.00732097,0.804353,0.036531,8.04065,1.087972
depthwise_small,depthwise_cnn,mps,1,224,5,5,120730,24146.0,810.551,0.00499594,0.000643795,0.000287914,0.004196691,0.005795189,0.829078,0.028426,6.01168,0.57981
depthwise_medium,depthwise_cnn,mps,1,224,5,5,94103,18820.6,782.006,0.006839135,0.001267783,0.00056697,0.005265227,0.008413042,1.064171,0.044512,6.40618,0.986315
inverted_residual_small,inverted_residual,mps,1,224,5,5,101444,20288.8,854.975,0.009320736,0.002092003,0.000935572,0.006723588,0.011917885,0.987179,0.041063,9.52133,2.529964
inverted_residual_wide,inverted_residual,mps,1,224,5,5,75964,15192.8,393.67,0.015524991,0.003629568,0.001623192,0.011019009,0.020030973,1.317184,0.034713,11.73898,2.399007
residual_cnn_small,residual_cnn,mps,1,224,5,5,128478,25695.6,1119.654,0.008167921,0.001775941,0.000794225,0.005963153,0.010372689,0.779496,0.032854,10.52869,2.506277
residual_cnn_medium,residual_cnn,mps,1,224,5,5,84543,16908.6,713.144,0.023062596,0.002477517,0.001107979,0.019986846,0.026138346,1.184654,0.052606,19.42665,1.186714
bottleneck_residual,bottleneck_cnn,mps,1,224,5,5,103402,20680.4,333.382,0.008352318,0.000413887,0.000185096,0.007838492,0.008866144,0.96733,0.015472,8.63614,0.448927
grouped_conv_cnn,grouped_cnn,mps,1,224,5,5,162263,32452.6,259.211,0.005216847,0.000305383,0.000136571,0.004837725,0.005595969,0.61633,0.004919,8.46272,0.45098
squeeze_expand_cnn,squeeze_cnn,mps,1,224,5,5,90441,18088.2,861.565,0.008977735,0.003283124,0.001468258,0.004901851,0.013053618,1.107864,0.055798,8.02269,2.49016
convnext_micro,convnext_like,mps,1,224,5,5,110275,22055.0,629.856,0.00691344,0.000405315,0.000181262,0.006410256,0.007416624,0.907446,0.026439,7.61472,0.275014
attention_gate_cnn,attention_cnn,mps,1,224,5,5,135038,27007.6,2166.945,0.006523004,0.001291667,0.000577651,0.004919445,0.008126563,0.744734,0.065145,8.71304,1.066925
patch_mixer_small,mixer,mps,1,224,5,5,159853,31970.6,660.234,0.004532603,0.000377461,0.000168806,0.004063998,0.005001207,0.6258,0.012984,7.23913,0.523319
patch_mixer_medium,mixer,mps,1,224,5,5,131088,26217.6,472.37,0.005810103,0.000572389,0.00025598,0.005099502,0.006520704,0.763049,0.013531,7.60831,0.655197
