model,family,backend,batch_size,image_size,trial,start_utc,end_utc,window_seconds_requested,window_seconds_actual,powermetrics_sample_interval_ms,powermetrics_requested_samples,parsed_samples,power_source,inferences,latency_ms_per_inference,mean_power_W,combined_power_W_mean,cpu_power_W_mean,gpu_power_W_mean,ane_power_W_mean,total_window_energy_J,energy_J_per_inference,warmup_trials,cooldown_seconds,raw_powermetrics_log,schedule_index
attention_gate_cnn,attention_cnn,mps,1,224,1,2026-05-24T21:31:15.431045+00:00,2026-05-24T21:31:36.761925+00:00,20.0,20.001218,1000,20,20,combined,27520,0.726788,9.11545,9.11545,5.22655,3.888575,0.0,182.320104131,0.006625004,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/001_attention_gate_cnn_repeat1.txt,1
inverted_residual_wide,inverted_residual,mps,1,224,1,2026-05-24T21:31:41.882119+00:00,2026-05-24T21:32:03.238013+00:00,20.0,20.000466,1000,20,20,combined,14577,1.372056,15.9007,15.9007,7.59105,8.3082,0.0,318.021406419,0.021816657,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/002_inverted_residual_wide_repeat1.txt,2
residual_cnn_medium,residual_cnn,mps,1,224,1,2026-05-24T21:32:08.336916+00:00,2026-05-24T21:32:29.760826+00:00,20.0,20.000955,1000,20,20,combined,15668,1.276548,21.35365,21.35365,6.10825,15.241775,0.0,427.093387397,0.02725896,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/003_residual_cnn_medium_repeat1.txt,3
depthwise_small,depthwise_cnn,mps,1,224,1,2026-05-24T21:32:34.878775+00:00,2026-05-24T21:32:56.265217+00:00,20.0,20.000575,1000,20,20,combined,22932,0.872169,6.74375,6.74375,5.7326,1.01115,0.0,134.87887709,0.005881688,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/004_depthwise_small_repeat1.txt,4
global_avg_mlp_tiny,mlp,mps,1,224,1,2026-05-24T21:33:01.299855+00:00,2026-05-24T21:33:22.656693+00:00,20.0,20.000179,1000,20,20,combined,89528,0.223396,6.0314,6.0314,3.4982,2.53315,0.0,120.629081128,0.001347389,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/005_global_avg_mlp_tiny_repeat1.txt,5
cnn_tiny_2conv,plain_cnn,mps,1,224,1,2026-05-24T21:33:27.695986+00:00,2026-05-24T21:33:49.059330+00:00,20.0,20.000266,1000,20,20,combined,51457,0.388679,7.2521,7.2521,4.95285,2.2993,0.0,145.04392755,0.00281874,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/006_cnn_tiny_2conv_repeat1.txt,6
patch_mixer_medium,mixer,mps,1,224,1,2026-05-24T21:33:54.132283+00:00,2026-05-24T21:34:15.459582+00:00,20.0,20.000176,1000,20,20,combined,26004,0.769119,7.7896,7.7896,4.74915,3.04025,0.0,155.79337065,0.005991131,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/007_patch_mixer_medium_repeat1.txt,7
grouped_conv_cnn,grouped_cnn,mps,1,224,1,2026-05-24T21:34:20.526982+00:00,2026-05-24T21:34:41.930313+00:00,20.0,20.000098,1000,20,20,combined,32149,0.622106,9.22365,9.22365,4.87535,4.347925,0.0,184.473902765,0.005738091,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/008_grouped_conv_cnn_repeat1.txt,8
patch_mixer_small,mixer,mps,1,224,1,2026-05-24T21:34:46.994387+00:00,2026-05-24T21:35:08.310380+00:00,20.0,20.000615,1000,20,20,combined,31733,0.630278,7.97935,7.97935,4.81595,3.1632,0.0,159.591907971,0.00502921,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/009_patch_mixer_small_repeat1.txt,9
depthwise_medium,depthwise_cnn,mps,1,224,1,2026-05-24T21:35:13.409766+00:00,2026-05-24T21:35:34.812253+00:00,20.0,20.000176,1000,20,20,combined,17970,1.112976,8.002,8.002,6.92635,1.075475,0.0,160.041412353,0.008906033,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/010_depthwise_medium_repeat1.txt,10
cnn_small_4conv,plain_cnn,mps,1,224,1,2026-05-24T21:35:39.858409+00:00,2026-05-24T21:36:01.360131+00:00,20.0,20.000072,1000,20,20,combined,31748,0.629963,7.7251,7.7251,5.18165,2.5431,0.0,154.50255589,0.004866529,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/011_cnn_small_4conv_repeat1.txt,11
bottleneck_residual,bottleneck_cnn,mps,1,224,1,2026-05-24T21:36:06.457217+00:00,2026-05-24T21:36:27.817050+00:00,20.0,20.00042,1000,20,20,combined,20741,0.964294,8.02735,8.02735,4.48155,3.544975,0.0,160.550371487,0.007740725,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/012_bottleneck_residual_repeat1.txt,12
convnext_micro,convnext_like,mps,1,224,1,2026-05-24T21:36:32.900569+00:00,2026-05-24T21:36:54.239181+00:00,20.0,20.00069,1000,20,20,combined,21939,0.91165,7.74445,7.74445,4.6608,3.0832,0.0,154.894340116,0.007060228,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/013_convnext_micro_repeat1.txt,13
squeeze_expand_cnn,squeeze_cnn,mps,1,224,1,2026-05-24T21:36:59.332566+00:00,2026-05-24T21:37:20.713015+00:00,20.0,20.001827,1000,20,20,combined,18738,1.067447,8.7913,8.7913,5.3739,3.4174,0.0,175.842065732,0.009384249,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/014_squeeze_expand_cnn_repeat1.txt,14
cnn_medium_6conv,plain_cnn,mps,1,224,1,2026-05-24T21:37:25.792063+00:00,2026-05-24T21:37:47.152377+00:00,20.0,20.000618,1000,20,20,combined,25344,0.789166,9.3352,9.3352,5.9105,3.423675,0.0004,186.709769536,0.007367021,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/015_cnn_medium_6conv_repeat1.txt,15
residual_cnn_small,residual_cnn,mps,1,224,1,2026-05-24T21:37:52.214841+00:00,2026-05-24T21:38:13.612820+00:00,20.0,20.00026,1000,20,20,combined,25739,0.777041,14.1891,14.1891,7.2191,6.966875,0.00085,283.785683249,0.011025513,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/016_residual_cnn_small_repeat1.txt,16
inverted_residual_small,inverted_residual,mps,1,224,1,2026-05-24T21:38:18.690957+00:00,2026-05-24T21:38:40.069854+00:00,20.0,20.0008,1000,20,20,combined,21259,0.940816,11.23035,11.23035,4.90655,6.3223,0.0007,224.615987559,0.010565689,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/017_inverted_residual_small_repeat1.txt,17
depthwise_medium,depthwise_cnn,mps,1,224,2,2026-05-24T21:38:45.152724+00:00,2026-05-24T21:39:06.503280+00:00,20.0,20.000781,1000,20,20,combined,18036,1.108937,5.89205,5.89205,4.74265,1.149275,0.0,117.845604148,0.00653391,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/018_depthwise_medium_repeat2.txt,18
residual_cnn_small,residual_cnn,mps,1,224,2,2026-05-24T21:39:11.550619+00:00,2026-05-24T21:39:32.938131+00:00,20.0,20.000203,1000,20,20,combined,27524,0.726646,12.10565,12.10565,4.33615,7.767575,0.0,242.115453404,0.008796521,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/019_residual_cnn_small_repeat2.txt,19
inverted_residual_small,inverted_residual,mps,1,224,2,2026-05-24T21:39:38.045074+00:00,2026-05-24T21:39:59.432247+00:00,20.0,20.000092,1000,20,20,combined,21173,0.944604,13.1313,13.1313,4.72135,8.410125,0.0,262.627214645,0.012403874,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/020_inverted_residual_small_repeat2.txt,20
patch_mixer_medium,mixer,mps,1,224,2,2026-05-24T21:40:04.497846+00:00,2026-05-24T21:40:25.812026+00:00,20.0,20.000065,1000,20,20,combined,25755,0.776551,8.2858,8.2858,4.09865,4.18705,0.0,165.716537889,0.006434344,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/021_patch_mixer_medium_repeat2.txt,21
convnext_micro,convnext_like,mps,1,224,2,2026-05-24T21:40:30.873821+00:00,2026-05-24T21:40:52.240753+00:00,20.0,20.000335,1000,20,20,combined,22674,0.882082,7.28515,7.28515,3.9256,3.3588,0.0,145.70543901,0.006426102,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/022_convnext_micro_repeat2.txt,22
grouped_conv_cnn,grouped_cnn,mps,1,224,2,2026-05-24T21:40:57.291649+00:00,2026-05-24T21:41:18.639539+00:00,20.0,20.000596,1000,20,20,combined,32773,0.610277,8.1774,8.1774,3.63025,4.546875,0.0,163.552877819,0.004990476,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/023_grouped_conv_cnn_repeat2.txt,23
inverted_residual_wide,inverted_residual,mps,1,224,2,2026-05-24T21:41:23.710133+00:00,2026-05-24T21:41:45.046552+00:00,20.0,20.000434,1000,20,20,combined,15609,1.28134,10.17295,10.17295,3.8499,6.32145,0.0,203.463416759,0.013035007,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/024_inverted_residual_wide_repeat2.txt,24
patch_mixer_small,mixer,mps,1,224,2,2026-05-24T21:41:50.107548+00:00,2026-05-24T21:42:11.412780+00:00,20.0,20.00029,1000,20,20,combined,32219,0.620761,6.53795,6.53795,3.398,3.1397,0.0,130.760893554,0.004058503,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/025_patch_mixer_small_repeat2.txt,25
global_avg_mlp_tiny,mlp,mps,1,224,2,2026-05-24T21:42:16.449145+00:00,2026-05-24T21:42:37.795787+00:00,20.0,20.000099,1000,20,20,combined,89319,0.223918,4.7154,4.7154,2.83345,1.88205,0.0,94.308468201,0.001055861,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/026_global_avg_mlp_tiny_repeat2.txt,26
cnn_medium_6conv,plain_cnn,mps,1,224,2,2026-05-24T21:42:42.858231+00:00,2026-05-24T21:46:39.457508+00:00,20.0,20.001594,1000,20,20,combined,23335,0.85715,7.0877,7.0877,4.5378,2.549975,0.0,141.765299268,0.006075222,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/027_cnn_medium_6conv_repeat2.txt,27
squeeze_expand_cnn,squeeze_cnn,mps,1,224,2,2026-05-24T21:46:44.522459+00:00,2026-05-24T21:47:05.935493+00:00,20.0,20.000672,1000,20,20,combined,18165,1.101055,6.27255,6.27255,4.26555,2.006675,0.0,125.455215411,0.006906425,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/028_squeeze_expand_cnn_repeat2.txt,28
bottleneck_residual,bottleneck_cnn,mps,1,224,2,2026-05-24T21:47:11.007072+00:00,2026-05-24T21:54:56.940181+00:00,20.0,20.000511,1000,20,20,combined,20564,0.972598,9.1308,9.1308,5.5818,3.523275,0.02495,182.620665081,0.0088806,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/029_bottleneck_residual_repeat2.txt,29
cnn_small_4conv,plain_cnn,mps,1,224,2,2026-05-24T21:55:01.999226+00:00,2026-05-24T22:03:51.759740+00:00,20.0,20.000594,1000,20,20,combined,32596,0.61359,2.44915,2.44915,2.18565,0.2505,0.01285,48.984455305,0.001502775,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/030_cnn_small_4conv_repeat2.txt,30
cnn_tiny_2conv,plain_cnn,mps,1,224,2,2026-05-24T22:03:56.911955+00:00,2026-05-24T22:04:18.332976+00:00,20.0,20.000131,1000,20,20,combined,46980,0.425716,9.40425,9.40425,7.4864,1.9178,0.0,188.086236273,0.004003538,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/031_cnn_tiny_2conv_repeat2.txt,31
attention_gate_cnn,attention_cnn,mps,1,224,2,2026-05-24T22:04:23.395127+00:00,2026-05-24T22:04:44.725082+00:00,20.0,20.000756,1000,20,20,combined,23357,0.856307,10.1449,10.1449,7.0116,3.13285,0.0,202.905671239,0.008687146,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/032_attention_gate_cnn_repeat2.txt,32
depthwise_small,depthwise_cnn,mps,1,224,2,2026-05-24T22:04:49.760970+00:00,2026-05-24T22:05:11.351532+00:00,20.0,20.000433,1000,20,20,combined,23706,0.843687,6.33825,6.33825,5.72485,0.613325,0.0,126.767746579,0.005347496,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/033_depthwise_small_repeat2.txt,33
residual_cnn_medium,residual_cnn,mps,1,224,2,2026-05-24T22:05:16.430940+00:00,2026-05-24T22:05:37.791817+00:00,20.0,20.000946,1000,20,20,combined,16933,1.181181,19.77955,19.77955,4.8345,14.945225,0.0,395.609711454,0.023363238,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/034_residual_cnn_medium_repeat2.txt,34
global_avg_mlp_tiny,mlp,mps,1,224,3,2026-05-24T22:05:42.832164+00:00,2026-05-24T22:06:04.180157+00:00,20.0,20.000199,1000,20,20,combined,90293,0.221503,5.2648,5.2648,3.2841,1.980525,0.0,105.297046816,0.001166171,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/035_global_avg_mlp_tiny_repeat3.txt,35
bottleneck_residual,bottleneck_cnn,mps,1,224,3,2026-05-24T22:06:09.255614+00:00,2026-05-24T22:06:30.620813+00:00,20.0,20.00081,1000,20,20,combined,21198,0.943523,8.96685,8.96685,5.11935,3.84655,0.0,179.344264269,0.008460433,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/036_bottleneck_residual_repeat3.txt,36
depthwise_small,depthwise_cnn,mps,1,224,3,2026-05-24T22:06:35.684068+00:00,2026-05-24T22:06:57.051880+00:00,20.0,20.000441,1000,20,20,combined,24873,0.804102,5.49605,5.49605,4.86395,0.6321,0.0,109.923426044,0.004419388,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/037_depthwise_small_repeat3.txt,37
inverted_residual_wide,inverted_residual,mps,1,224,3,2026-05-24T22:07:02.122935+00:00,2026-05-24T22:07:23.493048+00:00,20.0,20.001182,1000,20,20,combined,15077,1.326602,11.15985,11.15985,5.1425,6.01525,0.0,223.210187226,0.014804682,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/038_inverted_residual_wide_repeat3.txt,38
residual_cnn_small,residual_cnn,mps,1,224,3,2026-05-24T22:07:28.562773+00:00,2026-05-24T22:07:49.927385+00:00,20.0,20.000231,1000,20,20,combined,25636,0.780162,9.03665,9.03665,4.66255,4.373975,0.0,180.735090105,0.00705005,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/039_residual_cnn_small_repeat3.txt,39
residual_cnn_medium,residual_cnn,mps,1,224,3,2026-05-24T22:07:54.994632+00:00,2026-05-24T22:08:16.335711+00:00,20.0,20.000472,1000,20,20,combined,17286,1.157033,18.78285,18.78285,3.47955,15.299925,0.0,375.665856114,0.021732376,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/040_residual_cnn_medium_repeat3.txt,40
squeeze_expand_cnn,squeeze_cnn,mps,1,224,3,2026-05-24T22:08:21.399477+00:00,2026-05-24T22:08:42.756726+00:00,20.0,20.000776,1000,20,20,combined,18590,1.075889,6.6435,6.6435,4.1602,2.48255,0.0,132.875158399,0.007147669,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/041_squeeze_expand_cnn_repeat3.txt,41
cnn_tiny_2conv,plain_cnn,mps,1,224,3,2026-05-24T22:08:47.795148+00:00,2026-05-24T22:09:09.169372+00:00,20.0,20.000073,1000,20,20,combined,52802,0.378775,6.93995,6.93995,4.61005,2.329775,0.0,138.799507199,0.002628679,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/042_cnn_tiny_2conv_repeat3.txt,42
cnn_medium_6conv,plain_cnn,mps,1,224,3,2026-05-24T22:09:14.234763+00:00,2026-05-24T22:09:35.595997+00:00,20.0,20.000861,1000,20,20,combined,25347,0.789082,7.06615,7.06615,4.36765,2.6984,0.0,141.329086018,0.005575772,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/043_cnn_medium_6conv_repeat3.txt,43
cnn_small_4conv,plain_cnn,mps,1,224,3,2026-05-24T22:09:40.641168+00:00,2026-05-24T22:10:01.996096+00:00,20.0,20.000181,1000,20,20,combined,32115,0.622768,7.0,7.0,4.44145,2.5585,0.0,140.001270206,0.004359373,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/044_cnn_small_4conv_repeat3.txt,44
grouped_conv_cnn,grouped_cnn,mps,1,224,3,2026-05-24T22:10:07.047845+00:00,2026-05-24T22:10:28.401469+00:00,20.0,20.000406,1000,20,20,combined,32614,0.613246,8.5307,8.5307,4.2238,4.306625,0.0,170.617462398,0.005231418,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/045_grouped_conv_cnn_repeat3.txt,45
patch_mixer_small,mixer,mps,1,224,3,2026-05-24T22:10:33.468733+00:00,2026-05-24T22:10:54.788765+00:00,20.0,20.000156,1000,20,20,combined,32823,0.609334,7.03415,7.03415,3.97575,3.058225,0.0,140.684096153,0.004286144,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/046_patch_mixer_small_repeat3.txt,46
inverted_residual_small,inverted_residual,mps,1,224,3,2026-05-24T22:10:59.863108+00:00,2026-05-24T22:11:21.241910+00:00,20.0,20.000961,1000,20,20,combined,19662,1.017239,8.10125,8.10125,5.09865,3.001775,0.0,162.032781591,0.00824091,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/047_inverted_residual_small_repeat3.txt,47
depthwise_medium,depthwise_cnn,mps,1,224,3,2026-05-24T22:11:26.308970+00:00,2026-05-24T22:11:47.695363+00:00,20.0,20.000276,1000,20,20,combined,19003,1.05248,6.69925,6.69925,5.88015,0.773275,0.04565,133.986851224,0.007050826,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/048_depthwise_medium_repeat3.txt,48
patch_mixer_medium,mixer,mps,1,224,3,2026-05-24T22:11:52.759554+00:00,2026-05-24T22:12:14.176621+00:00,20.0,20.0001,1000,20,20,combined,26082,0.766816,8.0884,8.0884,5.0505,3.0373,0.00055,161.76880918,0.006202316,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/049_patch_mixer_medium_repeat3.txt,49
attention_gate_cnn,attention_cnn,mps,1,224,3,2026-05-24T22:12:19.242265+00:00,2026-05-24T22:12:40.588972+00:00,20.0,20.000783,1000,20,20,combined,28742,0.695873,8.5511,8.5511,3.9415,4.609175,0.0,171.028693374,0.00595048,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/050_attention_gate_cnn_repeat3.txt,50
convnext_micro,convnext_like,mps,1,224,3,2026-05-24T22:12:45.658691+00:00,2026-05-24T22:13:07.013629+00:00,20.0,20.00004,1000,20,20,combined,22500,0.888891,7.8046,7.8046,4.7039,3.100275,0.0,156.092313487,0.006937436,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/051_convnext_micro_repeat3.txt,51
residual_cnn_small,residual_cnn,mps,1,224,4,2026-05-24T22:13:12.089870+00:00,2026-05-24T22:13:33.463248+00:00,20.0,20.000187,1000,20,20,combined,24899,0.803253,8.66965,8.66965,4.32005,4.348775,0.0,173.394622672,0.006963919,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/052_residual_cnn_small_repeat4.txt,52
depthwise_small,depthwise_cnn,mps,1,224,4,2026-05-24T22:13:38.521029+00:00,2026-05-24T22:13:59.889655+00:00,20.0,20.00079,1000,20,20,combined,24575,0.813867,6.1202,6.1202,5.4732,0.646975,0.0,122.408835723,0.004981031,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/053_depthwise_small_repeat4.txt,53
patch_mixer_medium,mixer,mps,1,224,4,2026-05-24T22:14:04.956519+00:00,2026-05-24T22:14:26.270528+00:00,20.0,20.000552,1000,20,20,combined,27001,0.740734,7.1608,7.1608,4.06975,3.090925,0.0,143.219955748,0.005304246,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/054_patch_mixer_medium_repeat4.txt,54
bottleneck_residual,bottleneck_cnn,mps,1,224,4,2026-05-24T22:14:31.340084+00:00,2026-05-24T22:14:52.713525+00:00,20.0,20.000565,1000,20,20,combined,20612,0.970336,8.69815,8.69815,5.1081,3.589275,0.0,173.967916629,0.008440128,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/055_bottleneck_residual_repeat4.txt,55
inverted_residual_small,inverted_residual,mps,1,224,4,2026-05-24T22:14:57.787002+00:00,2026-05-24T22:15:19.149719+00:00,20.0,20.000318,1000,20,20,combined,19840,1.008081,7.70005,7.70005,4.7007,2.9994,0.0,154.003451827,0.007762271,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/056_inverted_residual_small_repeat4.txt,56
residual_cnn_medium,residual_cnn,mps,1,224,4,2026-05-24T22:15:24.224283+00:00,2026-05-24T22:15:45.571359+00:00,20.0,20.000894,1000,20,20,combined,17314,1.155186,18.7542,18.7542,3.46995,15.281075,0.0,375.100761566,0.021664593,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/057_residual_cnn_medium_repeat4.txt,57
depthwise_medium,depthwise_cnn,mps,1,224,4,2026-05-24T22:15:50.637353+00:00,2026-05-24T22:16:12.010271+00:00,20.0,20.000307,1000,20,20,combined,19643,1.01819,5.5616,5.5616,4.7484,0.81335,0.0,111.233706254,0.005662766,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/058_depthwise_medium_repeat4.txt,58
global_avg_mlp_tiny,mlp,mps,1,224,4,2026-05-24T22:16:17.051557+00:00,2026-05-24T22:16:38.436426+00:00,20.0,20.000044,1000,20,20,combined,90696,0.220517,5.0643,5.0643,3.18105,1.8832,0.0,101.286222616,0.001116766,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/059_global_avg_mlp_tiny_repeat4.txt,59
inverted_residual_wide,inverted_residual,mps,1,224,4,2026-05-24T22:16:43.515168+00:00,2026-05-24T22:17:04.876649+00:00,20.0,20.00086,1000,20,20,combined,15304,1.306904,11.394,11.394,5.05105,6.3409,0.0,227.88979647,0.014890865,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/060_inverted_residual_wide_repeat4.txt,60
squeeze_expand_cnn,squeeze_cnn,mps,1,224,4,2026-05-24T22:17:09.948432+00:00,2026-05-24T22:17:31.318493+00:00,20.0,20.000196,1000,20,20,combined,16598,1.204976,12.07195,12.07195,9.6778,2.393575,0.0,241.441368118,0.014546413,20,5.0,measured_energy_powermetrics_m4pro_arch17_mps_b1_224/raw_powermetrics/061_squeeze_expand_cnn_repeat4.txt,61
