model,trial,start_utc,end_utc,window_seconds_requested,window_seconds_actual,powermetrics_sample_interval_ms,powermetrics_requested_samples,parsed_samples,power_source,inferences,latency_ms_per_inference,mean_power_W,combined_power_W_mean,cpu_power_W_mean,gpu_power_W_mean,ane_power_W_mean,total_window_energy_J,energy_J_per_inference,warmup_trials,cooldown_seconds,raw_powermetrics_log,schedule_index
mobilenetv3_small,1,2026-05-15T02:46:32.751851+00:00,2026-05-15T02:46:53.692271+00:00,20.0,20.007187,1000,20,20,combined,2209,9.057124,8.46885,8.46885,8.4686,0.00025,0.0,169.437863508,0.076703424,10,10.0,measured_energy_powermetrics_m5pro/raw_powermetrics/001_mobilenetv3_small_repeat1.txt,1
efficientnet_b0,1,2026-05-15T02:47:04.074111+00:00,2026-05-15T02:47:24.995404+00:00,20.0,20.005613,1000,20,20,combined,569,35.15925,9.3409,9.3409,9.3409,0.0,0.0,186.870433592,0.32841904,10,10.0,measured_energy_powermetrics_m5pro/raw_powermetrics/002_efficientnet_b0_repeat1.txt,2
mobilenetv2,1,2026-05-15T02:47:35.148575+00:00,2026-05-15T02:47:56.062269+00:00,20.0,20.008331,1000,20,20,combined,1702,11.755776,9.76025,9.76025,9.75995,0.0003,0.0,195.286310603,0.114739313,10,10.0,measured_energy_powermetrics_m5pro/raw_powermetrics/003_mobilenetv2_repeat1.txt,3
tiny_vit_5m,1,2026-05-15T02:48:06.325255+00:00,2026-05-15T02:48:27.227344+00:00,20.0,20.018753,1000,20,20,combined,821,24.383377,11.02395,11.02395,11.0239,5e-05,0.0,220.685728927,0.268801131,10,10.0,measured_energy_powermetrics_m5pro/raw_powermetrics/004_tiny_vit_5m_repeat1.txt,4
resnet18,1,2026-05-15T02:48:37.382526+00:00,2026-05-15T02:48:58.280012+00:00,20.0,20.004515,1000,20,20,combined,1649,12.131301,10.14425,10.14425,10.1442,5e-05,0.0,202.930798337,0.123062946,10,10.0,measured_energy_powermetrics_m5pro/raw_powermetrics/005_resnet18_repeat1.txt,5
mobilenetv3_small,2,2026-05-15T02:49:08.397630+00:00,2026-05-15T02:49:29.323812+00:00,20.0,20.001122,1000,20,20,combined,2176,9.191692,8.4896,8.4896,8.48925,0.000325,0.0,169.801522496,0.078033788,10,10.0,measured_energy_powermetrics_m5pro/raw_powermetrics/006_mobilenetv3_small_repeat2.txt,6
efficientnet_b0,2,2026-05-15T02:49:39.705416+00:00,2026-05-15T02:50:00.616873+00:00,20.0,20.02564,1000,20,20,combined,569,35.194446,9.3378,9.3378,9.3378,0.0,0.0,186.995420417,0.3286387,10,10.0,measured_energy_powermetrics_m5pro/raw_powermetrics/007_efficientnet_b0_repeat2.txt,7
tiny_vit_5m,2,2026-05-15T02:50:10.895026+00:00,2026-05-15T02:50:31.796161+00:00,20.0,20.005051,1000,20,20,combined,814,24.57623,10.8507,10.8507,10.85035,0.00035,0.0,217.068810054,0.2666693,10,10.0,measured_energy_powermetrics_m5pro/raw_powermetrics/008_tiny_vit_5m_repeat2.txt,8
resnet18,2,2026-05-15T02:50:41.957315+00:00,2026-05-15T02:51:02.859892+00:00,20.0,20.005925,1000,20,20,combined,1639,12.206178,10.26875,10.26875,10.2607,0.00805,0.0,205.435845774,0.125342188,10,10.0,measured_energy_powermetrics_m5pro/raw_powermetrics/009_resnet18_repeat2.txt,9
mobilenetv2,2,2026-05-15T02:51:13.006598+00:00,2026-05-15T02:51:33.917774+00:00,20.0,20.006124,1000,20,20,combined,1711,11.69265,9.81945,9.81945,9.81935,0.0001,0.0,196.449129805,0.114815389,10,10.0,measured_energy_powermetrics_m5pro/raw_powermetrics/010_mobilenetv2_repeat2.txt,10
mobilenetv3_small,3,2026-05-15T02:51:44.044175+00:00,2026-05-15T02:52:04.975134+00:00,20.0,20.006591,1000,20,20,combined,2177,9.189982,8.61065,8.61065,8.61065,0.0,0.0,172.269753509,0.07913172,10,10.0,measured_energy_powermetrics_m5pro/raw_powermetrics/011_mobilenetv3_small_repeat3.txt,11
tiny_vit_5m,3,2026-05-15T02:52:15.249438+00:00,2026-05-15T02:52:36.145764+00:00,20.0,20.006544,1000,20,20,combined,812,24.6386,10.88945,10.88945,10.8894,5e-05,0.0,217.860255573,0.268300807,10,10.0,measured_energy_powermetrics_m5pro/raw_powermetrics/012_tiny_vit_5m_repeat3.txt,12
mobilenetv2,3,2026-05-15T02:52:46.295907+00:00,2026-05-15T02:53:07.210964+00:00,20.0,20.011639,1000,20,20,combined,1712,11.689042,9.85795,9.85795,9.8579,5e-05,0.0,197.273741205,0.115229989,10,10.0,measured_energy_powermetrics_m5pro/raw_powermetrics/013_mobilenetv2_repeat3.txt,13
efficientnet_b0,3,2026-05-15T02:53:17.591273+00:00,2026-05-15T02:53:38.504779+00:00,20.0,20.022064,1000,20,20,combined,567,35.312283,9.38335,9.38335,9.38335,0.0,0.0,187.874037753,0.331347509,10,10.0,measured_energy_powermetrics_m5pro/raw_powermetrics/014_efficientnet_b0_repeat3.txt,14
resnet18,3,2026-05-15T02:53:48.662172+00:00,2026-05-15T02:54:09.566485+00:00,20.0,20.001836,1000,20,20,combined,1640,12.196242,10.3689,10.3689,10.36885,5e-05,0.0,207.397041189,0.12646161,10,10.0,measured_energy_powermetrics_m5pro/raw_powermetrics/015_resnet18_repeat3.txt,15
efficientnet_b0,4,2026-05-15T02:54:19.948610+00:00,2026-05-15T02:54:40.865266+00:00,20.0,20.014767,1000,20,20,combined,566,35.361779,9.3327,9.3327,9.3327,0.0,0.0,186.791813648,0.330020872,10,10.0,measured_energy_powermetrics_m5pro/raw_powermetrics/016_efficientnet_b0_repeat4.txt,16
mobilenetv3_small,4,2026-05-15T02:54:50.981111+00:00,2026-05-15T02:55:11.911750+00:00,20.0,20.002189,1000,20,20,combined,2161,9.255988,8.6558,8.6558,8.6558,0.0,0.0,173.134951147,0.080117978,10,10.0,measured_energy_powermetrics_m5pro/raw_powermetrics/017_mobilenetv3_small_repeat4.txt,17
